[DreamBlog/server]2022/05/15 - 18:30:01.198	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:39	注册失败	{"error": "用户名已注册"}
[DreamBlog/server]2022/05/15 - 18:30:12.897	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:39	注册失败	{"error": "用户名已注册"}
[DreamBlog/server]2022/05/15 - 18:32:15.189	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 18:32:29.382	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:39	注册失败	{"error": "用户名已注册"}
[DreamBlog/server]2022/05/15 - 18:32:45.800	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 18:32:49.586	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:39	注册失败	{"error": "Error 1406: Data too long for column 'credential' at row 1"}
[DreamBlog/server]2022/05/15 - 18:34:14.356	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 18:48:45.159	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 23:36:14.209	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 23:40:12.974	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 23:40:16.364	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "sql: Scan error on column index 9, name \"last_login_time\": unsupported Scan, storing driver.Value type []uint8 into type *time.Time"}
[DreamBlog/server]2022/05/15 - 23:43:33.533	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/service/system/black_record.go:24	jwt黑名单加载失败	{"error": "Error 1054: Unknown column 'jwt' in 'field list'"}
[DreamBlog/server]2022/05/15 - 23:43:37.278	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "sql: Scan error on column index 11, name \"is_email_confirmed\": sql/driver: couldn't convert \"\\x00\" into type bool"}
[DreamBlog/server]2022/05/15 - 23:46:28.377	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "sql: Scan error on column index 11, name \"is_email_confirmed\": sql/driver: couldn't convert \"\\x00\" into type bool"}
[DreamBlog/server]2022/05/15 - 23:49:14.672	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "record not found"}
[DreamBlog/server]2022/05/15 - 23:49:27.382	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "record not found"}
[DreamBlog/server]2022/05/15 - 23:49:47.335	[31merror[0m	/mnt/e/coding/go-workspace/DreamBlog/app/v1/system/account_controller.go:35	登陆失败! 用户名不存在或者密码错误!	{"error": "record not found"}
